"","Private","Apps","Accept","Enroll","Top10perc","Top25perc","F.Undergrad","P.Undergrad","Outstate","Room.Board","Books","Personal","PhD","Terminal","S.F.Ratio","perc.alumni","Expend","Grad.Rate"
"Northern Illinois University",0,10706,7219,2397,12,37,14826,1979,7799,3296,470,1750,73,78,17.3,11,6086,56
"Wartburg College",1,1231,1074,345,34,66,1295,105,11600,3610,400,850,66,91,12.4,37,7735,67
"Barry University",1,990,784,279,18,45,1811,3144,11290,5360,600,1800,76,78,12.6,11,9084,72
"Briar Cliff College",1,392,351,155,16,44,738,430,10260,3597,600,1500,39,66,13.1,26,8355,58
"Hendrix College",1,823,721,274,52,87,954,6,8800,3195,500,1200,82,99,13.1,26,8588,63
"Belmont University",1,1220,974,481,28,67,1964,623,7800,3664,650,900,61,61,11.1,19,7614,49
"St. Mary's College of Maryland",0,1340,695,285,42,73,1315,209,6800,4730,675,1250,84,89,11.6,23,10357,63
"Virginia Union University",1,1847,1610,453,19,59,1298,67,7384,3494,500,1763,51,67,13.7,8,6757,30
"Tiffin University",1,845,734,254,5,21,662,351,7600,3800,600,1200,59,74,19,40,5096,39
"LeTourneau University",1,477,417,204,29,54,1532,77,8840,4240,600,1400,58,70,20.8,23,6863,56
"McKendree College",1,1002,555,119,16,43,836,684,7680,3740,500,800,70,74,17.7,21,6652,52
"Luther College",1,1549,1392,587,38,72,2269,85,13240,3560,600,400,73,85,13.8,38,8949,77
"Augustana College",1,761,725,306,21,58,1337,300,10990,3244,600,1021,66,70,10.4,30,6871,69
"Pitzer College",1,1133,630,220,37,73,750,30,17688,5900,650,850,100,100,10.4,11,14820,73
"Westminster College PA",1,1738,1373,417,21,55,1335,30,18460,5970,700,850,92,96,13.2,41,22704,71
"Louisiana Tech University",0,2397,2144,1525,22,45,6720,1822,3957,2325,618,1656,66,77,20,13,4546,45
"King's College",1,1456,1053,381,20,45,500,541,10910,5160,400,1795,66,72,15.6,37,7649,87
"University of Oregon",0,8631,6732,2546,25,61,11669,1605,10602,3660,570,1530,79,87,19.7,13,8020,54
"Voorhees College",1,1465,1006,188,10,30,703,20,4450,2522,500,1200,43,43,22.9,3,5861,58
"Concordia College at St. Paul",1,281,266,139,13,29,1049,181,10500,3750,450,950,69,75,12.8,18,6955,45
"Centenary College",1,369,312,90,12,46,396,526,11400,5400,500,760,41,85,9.5,20,9583,24
"Western Michigan University",0,9167,7191,2738,24,53,15739,4278,6940,4100,500,1700,80,84,24.7,11,5983,55
"North Carolina State University at Raleigh",0,10634,7064,3176,39,78,16505,5481,8400,6540,600,1300,92,98,17.5,21,9670,62
"Saint Louis University",1,3294,2855,956,44,67,4576,1140,11690,4730,800,6800,84,94,4.6,19,18367,67
"Salisbury State University",0,4216,2290,736,20,52,4296,1027,5130,4690,600,1450,73,75,17.9,18,5125,56
"Barat College",1,261,192,111,15,36,453,266,9690,4300,500,500,57,77,9.7,35,9337,71
"Embry Riddle Aeronautical University",1,3151,2584,958,14,40,4772,856,7800,3750,570,3020,37,43,16.5,4,12878,44
"James Madison University",0,11223,5285,2082,32,72,9652,742,7994,4544,500,732,77,81,17.9,29,5212,98
"Univ. of Wisconsin at OshKosh",0,4800,2900,1515,14,48,7764,1472,6874,2394,518,1890,73,78,19.2,14,5901,56
"University of La Verne",1,1597,969,226,16,38,1431,1522,13540,5050,630,2298,66,68,14.1,23,10139,47
"Lambuth University",1,831,538,224,15,35,840,325,5170,3430,600,1590,61,61,16.1,10,5531,60
"University of North Texas",0,4418,2737,2049,23,51,14047,5134,4104,3579,450,1700,86,94,22.6,6,5657,35
"Bluefield College",1,377,358,181,15,30,653,129,7150,4350,450,1500,61,67,17.8,3,6259,53
"Washington University",1,7654,5259,1254,62,93,4879,1274,18350,5775,768,1512,91,98,3.9,31,45702,90
"Furman University",1,2161,1951,685,56,82,2371,175,13440,4048,600,1250,92,95,13.5,28,12940,82
"Lake Forest College",1,979,638,271,31,70,968,20,16880,3970,920,1320,91,94,10.7,19,15687,77
"Colgate University",1,4856,2492,727,46,75,2649,25,19510,5565,500,750,95,98,10.5,45,15494,93
"Huron University",1,600,197,124,3,9,392,69,7260,3090,600,1840,31,35,12.9,4,9249,21
"Eastern Connecticut State University",0,2172,1493,564,14,50,2766,1531,5962,4316,650,500,71,76,16.9,14,5719,50
"Ursinus College",1,1399,1026,308,44,77,1131,17,14900,5160,500,800,82,85,11.6,40,12082,79
"Guilford College",1,1202,1054,326,18,44,1410,299,13404,5160,450,1050,78,86,15.6,30,9114,65
"Coker College",1,604,452,295,15,47,690,222,9888,4502,400,1000,64,77,12.1,39,8741,75
"Saint Cloud State University",0,3971,3306,1921,10,34,11493,2206,4259,2625,350,1884,70,75,18.9,10,4629,58
"University of Maryland at College Park",0,14292,10315,3409,22,53,19340,3991,8723,5146,550,1550,89,92,18.1,12,9021,63
"College Misericordia",1,1432,888,317,29,58,1121,493,10860,5760,550,900,56,62,12.9,23,8604,96
"College of Mount St. Vincent",1,946,648,177,23,46,707,432,11790,5770,500,1000,75,77,11.9,35,10015,83
"Saint Mary-of-the-Woods College",1,150,130,88,23,50,341,768,10300,4130,500,1700,44,58,10.2,37,9678,75
"Union College KY",1,484,384,177,9,45,634,78,7800,2950,500,600,60,88,14.1,9,6864,64
"Gwynedd Mercy College",1,380,237,104,30,56,716,1108,11000,5550,500,500,36,41,7.8,22,7483,96
"Lebanon Valley College",1,1386,1060,320,28,56,965,502,13850,4755,400,1125,84,84,12.3,30,8196,85
"Goshen College",1,440,396,221,26,51,910,166,9420,3730,600,1230,51,56,9.9,46,10270,72
"Fordham University",1,4200,2874,942,30,55,4740,1646,14235,6965,600,1735,86,97,14.4,14,10864,80
"Simpson College",1,1016,872,300,27,57,1116,602,11250,4980,550,1400,66,73,15.8,36,7411,70
"Kentucky Wesleyan College",1,584,497,175,20,49,662,121,8000,4150,500,1300,57,65,11.3,32,7058,62
"Elms College",1,245,208,125,23,46,544,436,11800,4765,450,1700,71,71,11.3,21,8952,86
"George Fox College",1,809,726,294,27,52,1271,43,12500,4130,400,1050,53,53,13.5,22,7136,52
"Millikin University",1,1444,1261,456,29,62,1788,95,11910,4378,450,965,60,77,11.4,25,8149,75
"Valparaiso University",1,2075,1727,520,49,81,2501,198,11800,3260,500,800,87,89,14.2,23,9681,95
"Polytechnic University",1,1132,847,302,58,89,1379,214,16200,4200,436,2486,90,90,10.4,14,14329,62
"Cabrini College",1,599,494,224,8,28,1035,446,10518,6250,300,300,59,76,16.5,36,7117,71
"Livingstone College",1,900,473,217,22,47,621,11,4400,3400,800,900,53,93,10.4,16,9268,92
"Loyola University",1,1891,1698,719,24,80,2740,761,11100,5870,600,750,77,88,11.7,14,9456,53
"Northwestern University",1,12289,5200,1902,85,98,7450,45,16404,5520,759,1585,96,100,6.8,25,26385,92
"Southeastern Oklahoma State Univ.",0,818,700,447,20,50,2962,651,3738,2619,450,1022,55,59,19.6,9,4444,53
"Moorhead State University",0,2442,2164,1189,12,37,5983,1075,4426,2664,600,1000,76,81,18.1,19,4795,60
"Juniata College",1,1005,859,298,36,55,1075,43,14850,4460,450,420,97,97,12.7,37,12067,80
"Lafayette College",1,4010,2402,572,36,59,2018,226,18730,5740,600,1000,93,96,10.5,38,15365,92
"Carnegie Mellon University",1,8728,5201,1191,60,89,4265,291,17900,5690,450,1250,86,93,9.2,31,24386,74
"Michigan State University",0,18114,15096,6180,23,57,26640,4120,10658,3734,504,600,93,95,14,9,10520,71
"Franklin College",1,804,632,281,29,72,840,68,10390,4040,525,1345,54,78,12.5,37,11751,60
"Bethel College KS",1,202,184,122,19,42,537,101,8540,3580,500,1400,61,80,8.8,32,8324,56
"Messiah College",1,1742,1382,607,30,64,2258,53,10300,5080,475,1200,68,75,14.1,30,7762,89
"Lenoir-Rhyne College",1,979,743,259,25,46,1188,166,10100,4000,400,1000,88,92,12,20,8539,66
"Southwest State University",0,1047,938,511,13,33,2091,546,4285,2750,600,1800,58,75,16.5,31,6591,51
"Ripon College",1,587,501,211,28,52,735,28,15200,4100,350,650,87,90,9.4,49,12472,64
"Saint John's University",1,933,800,444,18,45,1691,72,12247,4081,500,600,76,85,12,38,9853,70
"Cedar Crest College",1,776,607,198,25,58,791,764,14340,5285,500,1000,58,83,11.7,39,10961,74
"Lyndon State College",0,535,502,223,6,20,959,150,7320,4640,500,600,48,65,12.6,15,7114,51
"Francis Marion University",0,1801,1655,819,13,38,3224,436,5840,3138,400,2430,76,76,19.1,8,5039,43
"University of North Florida",0,1800,1253,560,44,85,3876,3588,6634,4360,600,2604,82,85,17.8,14,6104,47
"King College",1,355,300,142,34,65,509,44,8664,3350,600,3000,65,68,10.7,25,8954,65
"SUNY College at Plattsburgh",0,5549,3583,853,9,40,5004,475,6550,4176,600,1380,80,90,17.9,16,6174,65
"Smith College",1,2925,1598,632,51,88,2479,95,18820,6390,500,1050,85,97,10.3,44,21199,90
"Creighton University",1,2967,2836,876,30,60,3450,644,10628,4372,650,2055,85,90,6.5,32,22906,85
"John Brown University",1,605,405,284,24,53,961,99,6398,3672,400,1350,68,68,13.3,19,8118,75
"Grove City College",1,2491,1110,573,57,88,2213,35,5224,3048,525,350,65,65,18.4,18,4957,100
"George Washington University",1,7875,5062,1492,38,71,5471,1470,17450,6328,700,950,92,93,7.6,15,14745,72
"Mount Mercy College",1,368,317,159,20,49,806,542,10500,3555,500,2285,44,50,11.3,30,6695,64
"Bluffton College",1,692,514,209,20,50,760,81,9900,3990,400,900,76,71,13.3,19,9073,58
"Texas Southern University",0,4345,3245,2604,15,85,5584,3101,7860,3360,600,1700,65,75,18.2,21,3605,10
"SUNY College at Potsdam",0,3150,2289,650,16,51,3598,234,6840,4660,500,1000,71,75,15.1,17,6436,59
"Saint Vincent College",1,700,595,278,19,35,1035,182,10850,3936,500,900,62,64,12.3,31,8534,88
"Mount Mary College",1,235,217,121,12,32,931,487,8950,3119,550,1125,51,51,10.7,26,7016,78
"Bellarmine College",1,807,707,308,39,63,1198,605,8840,2950,750,1290,74,82,13.1,31,6668,84
"Lock Haven University of Pennsylvania",0,3570,2215,651,17,41,3390,325,7352,3620,225,500,47,55,16.1,14,6374,63
"Saint Xavier University",1,785,647,295,15,65,1670,726,10860,4624,600,794,87,100,13.7,15,8953,55
"College of Charleston",0,4772,3140,1265,22,55,6851,1200,6120,3460,666,2316,73,78,17.2,18,4776,51
"Stevens Institute of Technology",1,1768,1249,380,51,93,1263,11,16900,5680,450,750,89,89,19,33,12837,79
"University of the Arts",1,974,704,290,5,22,1145,39,12520,3860,1300,700,16,59,7.5,9,11641,57
"John Carroll University",1,2421,2109,820,27,57,3168,392,11700,5550,600,450,89,90,14.5,28,7738,89
"Oklahoma Baptist University",1,758,681,484,35,59,1707,705,5390,3140,515,1290,63,71,15.1,18,5511,50
"Brandeis University",1,4186,2743,740,48,77,2819,62,19380,6750,410,1000,90,97,9.8,24,17150,84
"Agnes Scott College",1,417,349,137,60,89,510,63,12960,5450,450,875,92,97,7.7,37,19016,59
"East Tennessee State University",0,3330,2730,1303,15,36,6706,2640,5800,3000,600,2200,73,75,14,9,9825,42
"Dickinson College",1,3014,2539,487,31,68,1889,62,18700,5000,595,1250,87,94,11.2,39,13861,87
"University of Northern Colorado",0,5530,4007,1697,12,37,8463,1498,7731,4128,540,2286,75,75,21.5,8,6309,40
"York College of Pennsylvania",1,2989,1855,691,28,63,2988,1726,4990,3560,500,1250,75,75,18.1,28,4509,99
"College of Wooster",1,2100,1883,553,29,65,1704,1,16240,4690,500,500,84,96,11.1,43,14140,69
"Mississippi University for Women",0,480,405,380,19,46,1673,1014,4386,2217,600,1500,49,54,15.8,8,5704,63
"Northwest Missouri State University",0,2729,2535,1257,8,29,4787,472,3735,3136,250,1630,62,65,21.7,23,5284,54
"Saint Joseph College",1,292,241,96,20,52,543,712,12200,4600,650,950,87,90,11.2,32,8680,76
"Rutgers State University at Newark",0,5785,2690,499,26,62,4005,1886,7410,4748,690,2009,90,95,17.4,16,11878,58
"Virginia Tech",0,15712,11719,4277,29,53,18511,604,10260,3176,740,2200,85,89,13.8,20,8944,73
"University of Arkansas at Fayetteville",0,3235,3108,2133,25,65,9978,1530,5028,3300,500,2000,73,89,14.8,10,6820,39
"Wheeling Jesuit College",1,903,755,213,15,49,971,305,10500,4545,600,600,66,71,14.1,27,7494,72
"University of Maine at Machias",0,441,369,172,17,45,633,317,6600,3680,600,400,46,46,15.1,4,5935,64
"Maryville University",1,549,397,169,26,51,1343,1751,9250,4550,425,1350,52,58,13.1,13,5925,61
"St. Bonaventure University",1,1489,1313,375,13,45,1688,131,10456,4927,500,1050,91,91,17.7,32,9828,78
"University of North Dakota",0,2777,2249,1652,20,54,8334,1435,5634,2703,450,1200,97,97,15.9,16,9424,49
"Saint Francis College IN",1,213,166,85,13,36,513,247,8670,3820,450,1000,43,78,12.5,4,7440,48
"Fairfield University",1,4784,3346,781,30,66,2984,1037,15000,6200,700,1100,86,90,15.1,30,11220,94
"Lakeland College",1,497,452,231,24,47,887,1957,9400,4005,500,1000,49,65,17.2,25,4054,57
"Caldwell College",1,1011,604,213,17,42,693,868,8900,4600,425,1000,87,96,13.9,25,7922,55
"Bethune Cookman College",1,1646,1150,542,12,30,2128,82,5188,3396,650,2500,48,48,13.8,9,6817,58
"San Diego State University",0,9402,7020,2151,20,70,16407,5550,8384,5110,612,2400,87,93,19.5,7,7930,41
"University of Texas at Arlington",0,3281,2559,1448,19,43,10975,8431,4422,2780,500,2850,73,73,21,4,4696,29
"Berry College",1,1858,1221,480,37,68,1620,49,8050,3940,350,2375,80,80,16.3,17,10511,63
"Doane College",1,793,709,244,20,47,1022,411,9570,3000,400,1000,67,72,15.1,42,6852,60
"University of Southern Indiana",0,2379,2133,1292,8,25,4283,2973,4973,3192,500,1425,56,65,22,21,4078,38
"University of Delaware",1,14446,10516,3252,22,57,14130,4522,10220,4230,530,1300,82,87,18.3,15,10650,75
"Pace University",1,8256,3750,1522,37,70,5809,4379,11000,5160,660,1115,90,95,13.8,10,10059,62
